,0
ABL,0.49210922134899815
CVS,0.3055593008562421
TNE,0.21597496772791516
TE,0.20902202947520582
CCN,0.17926931835262705
CR,0.1711898767386863
BG,0.1228340295930152
ONA,0.05073721170995636
UCPA,0.04420431537847717
